#include	MACRO	0
<stdio.h>	HEADER	0
int	TYPE	2
main	VAR	2
(	ORB	2
)	CRB	2
{	OCB	2
int	TYPE	3
=	INIT	3
900	NUM	3
;	BREAK	3
printf	VAR	4
(	ORB	4
"X = %d\n"	STRING	4
)	CRB	4
;	BREAK	4
if	IF	6
(	ORB	6
==	COMP	6
1000	NUM	6
)	CRB	6
{	OCB	6
printf	VAR	7
(	ORB	7
"Something's wrong, I can feel it\n"	STRING	7
)	CRB	7
;	BREAK	7
}	CCB	8
else	ELSE	9
{	OCB	9
printf	VAR	10
(	ORB	10
"Baby Yoda should not be the meme of the decade!!!!\n"	STRING	10
)	CRB	10
;	BREAK	10
}	CCB	11
for	VAR	13
(	ORB	13
int	TYPE	13
=	INIT	13
0	NUM	13
;	BREAK	13
<	COMP	13
100	NUM	13
;	BREAK	13
+	ARITH	13
+	ARITH	13
)	CRB	13
{	OCB	13
printf	VAR	14
(	ORB	14
"i = %d\n"	STRING	14
)	CRB	14
;	BREAK	14
}	CCB	15
return	RET	16
0	NUM	16
;	BREAK	16
}	CCB	17
void	TYPE	19
helloWorld	VAR	19
(	ORB	19
int	TYPE	19
float	TYPE	19
operator	VAR	19
char	TYPE	19
id	VAR	19
)	CRB	19
{	OCB	19
printf	VAR	20
(	ORB	20
"%d %f %c"	STRING	20
operator	VAR	20
id	VAR	20
)	CRB	20
;	BREAK	20
}	CCB	21
